,fed,ecb,boe
fed,-,0.4247*** (p=0.0003),0.1237 (p=0.3103)
ecb,0.3565*** (p=0.0005),-,0.2762*** (p=0.0090)
boe,0.0056 (p=0.9709),-0.0916 (p=0.5741),-
