,FED Shock,ECB Shock,BoE Shock
US Market (SP500),0.1730 (p=0.4967),-0.0751 (p=0.6182),-0.1583 (p=0.5699)
EU Market (EUROSTOXX50),0.1030 (p=0.6080),-0.1155 (p=0.4388),-0.0938 (p=0.6621)
UK Market (FTSE100),0.3186 (p=0.1167),-0.0983 (p=0.4284),0.0195 (p=0.9030)
