,FED Shock,ECB Shock,BoE Shock
US Market (SP500),1.1524 (p=0.1755),-0.5869* (p=0.0948),0.5393 (p=0.4801)
EU Market (EUROSTOXX50),1.8944 (p=0.1629),-1.1304*** (p=0.0023),-0.4602 (p=0.4299)
UK Market (FTSE100),1.3713 (p=0.2170),-0.4561 (p=0.1682),-0.0233 (p=0.9555)
