,FED Shock,ECB Shock,BoE Shock
US Market (SP500),4.5725 (p=0.2287),-3.3357 (p=0.4554),1.4270 (p=0.8385)
EU Market (EUROSTOXX50),8.5787 (p=0.1157),-4.6413 (p=0.2380),-7.5540 (p=0.4110)
UK Market (FTSE100),7.2933 (p=0.1190),-2.7955 (p=0.3795),-2.1808 (p=0.7569)
