,FED Shock,ECB Shock,BoE Shock
US Market (SP500),0.1037 (p=0.6276),-0.0137 (p=0.9621),0.1053 (p=0.7326)
EU Market (EUROSTOXX50),0.0437 (p=0.8227),-0.0285 (p=0.9308),0.0182 (p=0.9304)
UK Market (FTSE100),0.1908 (p=0.3223),0.0497 (p=0.8594),0.0193 (p=0.9120)
