,FED Shock,ECB Shock,BoE Shock
US Market (SP500),0.5925 (p=0.1022),-0.2242 (p=0.6886),0.6466 (p=0.3495)
EU Market (EUROSTOXX50),0.7681 (p=0.1874),-0.2166 (p=0.6908),-0.1840 (p=0.8335)
UK Market (FTSE100),0.6021 (p=0.2240),0.0137 (p=0.9743),0.1318 (p=0.8487)
