,fed,ecb,boe
fed,-,0.3562*** (p=0.0021),0.1767 (p=0.1478)
ecb,0.4992*** (p=0.0000),-,0.2307** (p=0.0301)
boe,0.0993 (p=0.5149),-0.1411 (p=0.4663),-
