,fed,ecb,boe
fed,-,0.3023*** (p=0.0075),0.1773 (p=0.3002)
ecb,0.5346*** (p=0.0000),-,0.2372 (p=0.1223)
boe,0.0160 (p=0.8874),-0.1181 (p=0.3128),-
