,FED Shock,ECB Shock,BoE Shock
US Market (SP500),4.8735 (p=0.5485),-8.5943** (p=0.0345),-1.5119 (p=0.8890)
EU Market (EUROSTOXX50),11.1615 (p=0.2026),-17.2314*** (p=0.0000),-23.5447 (p=0.1292)
UK Market (FTSE100),11.6085 (p=0.1093),-12.4690*** (p=0.0000),-8.8419 (p=0.2449)
