,FED Shock,ECB Shock,BoE Shock
US Market (SP500),2.7870 (p=0.6382),-7.0484** (p=0.0171),-1.0621 (p=0.8851)
EU Market (EUROSTOXX50),6.5899 (p=0.3339),-12.5067*** (p=0.0000),-12.5400 (p=0.2066)
UK Market (FTSE100),6.7485 (p=0.2235),-7.6050*** (p=0.0004),-3.4210 (p=0.5247)
