,FED Shock,ECB Shock,BoE Shock
US Market (SP500),0.4539 (p=0.3079),-0.4431 (p=0.3734),-0.0112 (p=0.9849)
EU Market (EUROSTOXX50),0.6928 (p=0.2457),-0.4160 (p=0.3558),-0.7135 (p=0.3411)
UK Market (FTSE100),0.5991 (p=0.2382),-0.1511 (p=0.6857),-0.1640 (p=0.7729)
