,FED Shock,ECB Shock,BoE Shock
US Market (SP500),1.0004 (p=0.6432),-1.0168 (p=0.4987),-0.1432 (p=0.9667)
EU Market (EUROSTOXX50),-0.6700 (p=0.7282),-1.0505 (p=0.5047),-0.9510 (p=0.6910)
UK Market (FTSE100),1.2865 (p=0.5222),-0.4521 (p=0.7396),0.3227 (p=0.8704)
