,FED Shock,ECB Shock,BoE Shock
US Market (SP500),0.1809 (p=0.3892),-0.0918 (p=0.6136),-0.0842 (p=0.7588)
EU Market (EUROSTOXX50),-0.0579 (p=0.7503),-0.0635 (p=0.7501),-0.0783 (p=0.7009)
UK Market (FTSE100),0.1769 (p=0.3056),0.0248 (p=0.8884),0.0164 (p=0.9211)
