,FED Shock,ECB Shock,BoE Shock
US Market (SP500),9.7665 (p=0.2050),-3.9384 (p=0.2376),2.7455 (p=0.7717)
EU Market (EUROSTOXX50),19.3002* (p=0.0943),-9.6965*** (p=0.0086),-8.3191 (p=0.2054)
UK Market (FTSE100),14.3833 (p=0.1228),-5.4411* (p=0.0812),-2.8753 (p=0.5018)
