,FED Shock,ECB Shock,BoE Shock
US Market (SP500),3.5702 (p=0.5685),-7.3166** (p=0.0157),4.4786 (p=0.5469)
EU Market (EUROSTOXX50),8.6445 (p=0.2200),-14.1432*** (p=0.0001),-9.8022 (p=0.3304)
UK Market (FTSE100),7.8423 (p=0.1753),-7.3959*** (p=0.0047),-1.1511 (p=0.8371)
