,FED Shock,ECB Shock,BoE Shock
US Market (SP500),0.7625 (p=0.4013),-0.9170*** (p=0.0050),0.1821 (p=0.7457)
EU Market (EUROSTOXX50),1.7696 (p=0.1981),-1.3562*** (p=0.0001),-0.7904 (p=0.1431)
UK Market (FTSE100),1.4065 (p=0.1944),-0.7236** (p=0.0134),-0.3438 (p=0.3477)
