,FED Shock,ECB Shock,BoE Shock
US Market (SP500),4.8388 (p=0.1698),-3.8658 (p=0.3679),4.8634 (p=0.5246)
EU Market (EUROSTOXX50),5.8219 (p=0.3546),-3.9736 (p=0.2959),-1.3480 (p=0.8926)
UK Market (FTSE100),5.2551 (p=0.3288),-0.9299 (p=0.7657),2.2230 (p=0.7750)
