,fed,ecb,boe
fed,-,0.1708 (p=0.1201),0.1949 (p=0.1865)
ecb,0.6137*** (p=0.0000),-,0.0937 (p=0.4788)
boe,0.0856 (p=0.5418),-0.0462 (p=0.7446),-
