,FED Shock,ECB Shock,BoE Shock
US Market (SP500),1.0311 (p=0.1495),-0.4369 (p=0.2628),0.4543 (p=0.4827)
EU Market (EUROSTOXX50),1.8877 (p=0.1044),-0.9473** (p=0.0263),-0.6073 (p=0.2590)
UK Market (FTSE100),1.4149 (p=0.1204),-0.3933 (p=0.2768),-0.1411 (p=0.7045)
