,FED Shock,ECB Shock,BoE Shock
US Market (SP500),5.8483 (p=0.3239),-3.0063 (p=0.2180),1.0925 (p=0.8676)
EU Market (EUROSTOXX50),11.4470 (p=0.1934),-5.9875** (p=0.0145),-8.6448* (p=0.0983)
UK Market (FTSE100),8.5580 (p=0.2220),-2.4711 (p=0.2599),-2.8993 (p=0.3731)
