,FED Shock,ECB Shock,BoE Shock
US Market (SP500),0.7863 (p=0.6750),-0.5196 (p=0.7034),0.3982 (p=0.8797)
EU Market (EUROSTOXX50),-0.2874 (p=0.8572),-0.0689 (p=0.9655),-0.7561 (p=0.7211)
UK Market (FTSE100),1.5412 (p=0.2836),0.5734 (p=0.6743),-0.3058 (p=0.8666)
