,FED Shock,ECB Shock,BoE Shock
US Market (SP500),0.5745 (p=0.5588),-1.1992*** (p=0.0047),0.3669 (p=0.6268)
EU Market (EUROSTOXX50),0.6997 (p=0.5268),-2.2738*** (p=0.0000),-0.9542 (p=0.3642)
UK Market (FTSE100),0.8501 (p=0.3600),-1.2699*** (p=0.0002),-0.0479 (p=0.9389)
