,FED Shock,ECB Shock,BoE Shock
US Market (SP500),0.2344 (p=0.5990),-0.7646 (p=0.1196),0.1901 (p=0.6724)
EU Market (EUROSTOXX50),0.5555 (p=0.4152),-0.7150 (p=0.1013),-0.5637 (p=0.3563)
UK Market (FTSE100),0.6421 (p=0.2413),-0.4402 (p=0.2180),-0.0605 (p=0.9031)
