,FED Shock,ECB Shock,BoE Shock
US Market (SP500),0.4980 (p=0.1674),-0.4073 (p=0.4244),0.2145 (p=0.6961)
EU Market (EUROSTOXX50),0.6349 (p=0.2897),-0.2922 (p=0.5507),-0.5759 (p=0.4290)
UK Market (FTSE100),0.5793 (p=0.2285),-0.0285 (p=0.9422),-0.1552 (p=0.7845)
