,FED Shock,ECB Shock,BoE Shock
US Market (SP500),5.1780 (p=0.4339),-8.6069** (p=0.0285),4.4777 (p=0.5731)
EU Market (EUROSTOXX50),7.3616 (p=0.3250),-16.2584*** (p=0.0001),-9.2596 (p=0.3840)
UK Market (FTSE100),7.3191 (p=0.2348),-9.5423*** (p=0.0010),-1.9165 (p=0.7725)
