,fed,ecb,boe
fed,-,0.3086*** (p=0.0067),0.1263 (p=0.3111)
ecb,0.4757*** (p=0.0000),-,0.2374** (p=0.0281)
boe,-0.0062 (p=0.9682),-0.1267 (p=0.4738),-
