,FED Shock,ECB Shock,BoE Shock
US Market (SP500),5.1793 (p=0.6513),-15.4822*** (p=0.0009),0.7525 (p=0.9365)
EU Market (EUROSTOXX50),12.7699 (p=0.3116),-25.0090*** (p=0.0000),-21.4149* (p=0.0927)
UK Market (FTSE100),12.2937 (p=0.2466),-14.7545*** (p=0.0000),-8.7306 (p=0.2319)
