,FED Shock,ECB Shock,BoE Shock
US Market (SP500),1.0946 (p=0.1547),-0.5090 (p=0.2469),0.7709 (p=0.3057)
EU Market (EUROSTOXX50),1.8840 (p=0.1214),-0.9533*** (p=0.0100),-0.5081 (p=0.3703)
UK Market (FTSE100),1.4071 (p=0.1475),-0.4202 (p=0.1739),-0.0544 (p=0.9013)
