date,shock
2015-02-12,0.01656414603444549
2015-05-13,-0.04330261093241922
2015-08-06,0.1497891177216903
2015-11-05,0.019587626053628363
2016-02-04,0.09064394813991229
2016-05-12,-0.08937897507054313
2016-08-04,-0.27908784836304634
2016-11-03,-0.15477473083628013
2017-02-02,-0.006026289979889396
2017-05-11,-0.011721665147638734
2017-11-02,0.11218761931644614
2018-02-08,0.18067953972624395
2018-05-10,0.06582314654875904
2018-08-02,0.10124204829883905
2018-11-01,-0.004698738345153431
2019-02-07,-0.0936283201898877
2019-05-02,0.15160100137885227
2019-08-01,-0.025021081159262503
2019-11-07,-0.05739514783938167
2020-03-11,-0.12308278535531328
2020-05-07,0.07232980630852465
2020-08-06,-0.08224574881920291
2020-11-05,-0.012583998436528382
2021-02-04,0.007715122820024217
2021-05-06,-0.036837744605276765
2021-08-05,0.03255476222446779
2021-11-04,-0.0859302046419558
2022-02-03,0.2196084859965622
2022-05-05,0.056044966005365966
2022-08-04,0.07767150117282744
2022-11-03,-0.12966226932162098
2023-02-02,-0.06868211555686864
2023-05-11,-0.013786841273200873
2023-08-03,-0.06208430847599358
2023-11-02,0.299418529762188
2024-02-01,-0.04976537535873663
2024-05-09,-0.09736645523990475
2024-08-01,0.09485357083425283
2024-11-07,-0.08820319423074377
2025-02-06,-0.05380833399188162
2025-05-08,-0.00910817392405705
2025-08-07,-0.07966225279765085
2025-11-06,0.024686627549653853
2026-01-01,-0.015156356000243738
