date,shock
2015-02-12,-0.013182171309453442
2015-05-13,0.025482271490215327
2015-08-06,0.11540135211942976
2015-11-05,0.014467547862360833
2016-02-04,0.05515181652883242
2016-05-12,-0.03259877546139148
2016-08-04,-0.22878821212957556
2016-11-03,-0.08674268002730283
2017-02-02,-0.10721424849817651
2017-05-11,0.02200485999144974
2017-11-02,0.09219829953912735
2018-02-08,0.19944544199179245
2018-05-10,0.06124651213128608
2018-08-02,0.10794090475370127
2018-11-01,-0.023559857569870973
2019-02-07,-0.10799681633891502
2019-05-02,0.1212354155487265
2019-08-01,-0.020349256318755955
2019-11-07,-0.05285108953068812
2020-03-11,-0.1412913147727902
2020-05-07,0.0711824137807955
2020-08-06,-0.06250057579466134
2020-11-05,0.038768475365381305
2021-02-04,0.006878135633213871
2021-05-06,-0.025971684151107337
2021-08-05,0.03749851456374993
2021-11-04,-0.1055713847563556
2022-02-03,0.17927068831946108
2022-05-05,0.02136051579000511
2022-08-04,0.03816274919820593
2022-11-03,-0.06523015683774014
2023-02-02,-0.07551841305712677
2023-05-11,-0.07208953006524395
2023-08-03,-0.019295183177667263
2023-11-02,0.257767829528452
2024-02-01,0.0009908251020518052
2024-05-09,-0.04084323834356355
2024-08-01,0.012243007824949198
2024-11-07,-0.08691048470201565
2025-02-06,-0.05237093242117647
2025-05-08,0.0004949521281865654
2025-08-07,-0.015850067832539328
2025-11-06,-0.024411423607543878
2026-01-01,-0.01805503248771122
