date,shock
2015-03-18,0.02983136535658526
2015-06-17,0.06270886608193767
2015-09-17,0.005506315312063113
2015-12-16,-0.06623455002086141
2016-03-16,0.0010497731910559223
2016-06-15,0.0004699178651204963
2016-09-21,0.05124323454056219
2016-12-14,-0.027935625193665506
2017-03-15,-0.024968027644554115
2017-06-14,-0.04739472298827335
2017-09-20,0.05115955282472007
2017-12-13,-0.03543609932469077
2018-03-21,-0.0339700790895936
2018-06-13,0.01504218465808187
2018-09-26,0.032838352656050174
2018-12-19,-0.09691178662525918
2019-01-30,-0.0022398127207425185
2019-03-20,0.029046014500737453
2019-05-01,0.008157046186624571
2019-06-19,-0.06430904414881305
2019-07-31,-0.03995405443348256
2019-09-18,0.031530253580263304
2019-10-30,0.07041770370995165
2019-12-11,-0.032711401642412055
2020-01-29,0.013303358649616464
2020-03-03,-0.244404222074047
2020-03-15,0.10754542392172667
2020-04-29,-0.2914377082277345
2020-06-10,0.07318798377489436
2020-07-29,0.00036453788651685803
2020-09-16,-0.017335330625574116
2020-11-05,-0.035959681652103795
2020-12-16,-0.05583324094846488
2021-01-27,-0.13363702356184975
2021-03-17,-0.024175726743093158
2021-04-28,0.002310847097775133
2021-06-16,0.09821926929181186
2021-07-28,0.061454206727079706
2021-09-22,0.0027513762675139674
2021-11-03,0.06592178623925402
2021-12-15,0.1079960078164256
2022-01-26,0.13378300216719613
2022-03-16,0.23848167141809623
2022-05-04,0.14856412891904536
2022-06-15,-0.07325560101233003
2022-07-27,-0.01919116724922937
2022-09-21,0.131143679246983
2022-11-02,0.034238423570033705
2022-12-14,0.1755308705852084
2023-02-01,0.023978132428287224
2023-03-22,-0.07082593507410741
2023-05-03,-0.0014080884193810872
2023-06-14,0.050707006645826926
2023-07-26,0.03344640652609039
2023-09-20,0.09180677480124598
2023-11-01,0.03185902553588679
2023-12-13,-0.02930292833266224
2024-01-31,-0.010891818660688377
2024-03-20,-0.03994386850162976
2024-05-01,0.015289648964420692
2024-06-12,-0.017077365591636397
2024-07-31,-0.09369568096082376
2024-09-18,0.08266478018719217
2024-11-07,0.025260850842529207
2024-12-18,-0.004960397066162896
2025-01-29,-0.03495631985457938
2025-03-19,-0.08484154237375861
2025-05-07,-0.11506883369399801
2025-06-18,-0.0806411851812817
2025-07-30,-0.033988033183366906
2025-09-17,-0.08550393530903339
2025-10-29,-0.0016946892477115994
2025-12-10,-0.06671425259681481
