date,shock
2015-03-18,0.048198376462132146
2015-06-17,0.19657644125002366
2015-09-17,-0.051620021888061765
2015-12-16,-0.018871369796679652
2016-03-16,0.04175316066083834
2016-06-15,-0.011872425630773252
2016-09-21,0.05859810929329808
2016-12-14,-0.027286456901768757
2017-03-15,-0.024077705263038165
2017-06-14,-0.05734009450542534
2017-09-20,-0.026553851742341514
2017-12-13,-0.1275041619382038
2018-03-21,-0.01845225374195927
2018-06-13,0.011201121151173972
2018-09-26,0.03011599202520784
2018-12-19,-0.1195164746343258
2019-01-30,0.029376389354285715
2019-03-20,0.02672283254417187
2019-05-01,0.02198967437138316
2019-06-19,-0.08644941992225318
2019-07-31,-0.06228424243959663
2019-09-18,-0.003827083320535718
2019-10-30,0.08067802519672236
2019-12-11,-0.03650221925135966
2020-01-29,-0.012515883988453703
2020-03-03,-0.3369741112249984
2020-03-15,0.08509346922613259
2020-04-29,-0.504044316012459
2020-06-10,-0.08505584894828483
2020-07-29,0.07114957789959972
2020-09-16,-0.07566229612714595
2020-11-05,0.04293765317161739
2020-12-16,-0.04936231668225449
2021-01-27,-0.009143471242570367
2021-03-17,0.03305802120564502
2021-04-28,0.07039274260325723
2021-06-16,0.1184284227864576
2021-07-28,0.04098864878084549
2021-09-22,0.03505349870775074
2021-11-03,0.08917942496188769
2021-12-15,0.2249301240967828
2022-01-26,0.20487391340957545
2022-03-16,0.3171996460074754
2022-05-04,0.28811178898159306
2022-06-15,0.027822153389115256
2022-07-27,-0.10562078788448387
2022-09-21,0.08436548945917499
2022-11-02,0.004232800319011909
2022-12-14,0.08857779578415573
2023-02-01,-0.004678159821651262
2023-03-22,-0.0620957713233808
2023-05-03,-0.0811561868472096
2023-06-14,0.06374640905725062
2023-07-26,0.03423985998672888
2023-09-20,0.0869249883056807
2023-11-01,0.053691708596538955
2023-12-13,-0.04228402174307201
2024-01-31,-0.007181171734532844
2024-03-20,-0.032150479246223676
2024-05-01,0.026099790995941508
2024-06-12,-0.06043470761412233
2024-07-31,-0.1357445469785946
2024-09-18,0.09401882647788289
2024-11-07,0.02740709021979965
2024-12-18,-0.002713804130294279
2025-01-29,-0.07432796480551832
2025-03-19,-0.08643133516248938
2025-05-07,-0.0935900775812815
2025-06-18,-0.020918647286536488
2025-07-30,-0.022149864246223644
2025-09-17,-0.06839426948857819
2025-10-29,-0.031908064573185665
2025-12-10,-0.08103808106926988
