date,shock
2015-03-18,0.036208666112338014
2015-06-17,0.05491998817789198
2015-09-17,-0.14012464393414975
2015-12-16,-0.05486937207274742
2016-03-16,0.04069144734599289
2016-06-15,0.06927752874004663
2016-09-21,0.11120962823224506
2016-12-14,-0.03903780571065278
2017-03-15,0.010219076415484994
2017-06-14,-0.06956065540777186
2017-09-20,0.06430272632540512
2017-12-13,-0.08323658422408353
2018-03-21,0.02892426474450284
2018-06-13,-0.0194296967824846
2018-09-26,0.08205030681974111
2018-12-19,-0.11203869380894618
2019-01-30,-0.027758900203300713
2019-03-20,0.022027070108177865
2019-05-01,-0.03131842417217692
2019-06-19,-0.06007576934161464
2019-07-31,-0.05157598181436254
2019-09-18,-0.0053082233459687544
2019-10-30,0.1023539214585184
2019-12-11,-0.09600729986678344
2020-01-29,0.00726910971905971
2020-03-03,-0.34750491091201174
2020-03-15,0.1145224976764544
2020-04-29,-0.4899042710922902
2020-06-10,0.023399964340642287
2020-07-29,0.14592081160411158
2020-09-16,-0.11661705109094173
2020-11-05,-0.07168275881839586
2020-12-16,-0.10892457604604638
2021-01-27,-0.15015021372616114
2021-03-17,0.0012949760221316886
2021-04-28,-0.020801638218158197
2021-06-16,0.2713130689025889
2021-07-28,-0.010488502165173885
2021-09-22,0.138040338133238
2021-11-03,0.04618575892944324
2021-12-15,0.19565783057039463
2022-01-26,0.30203489000886125
2022-03-16,0.28648340978119
2022-05-04,0.21689448819945184
2022-06-15,0.024391702036460294
2022-07-27,-0.04790964463125341
2022-09-21,0.11600416848216866
2022-11-02,0.02881621968284176
2022-12-14,0.11801038333609751
2023-02-01,0.10283456494408025
2023-03-22,-0.04802339942152675
2023-05-03,-0.09336462120583788
2023-06-14,0.17687526562777123
2023-07-26,0.014068487189753245
2023-09-20,0.0756014122988666
2023-11-01,0.13139838298577738
2023-12-13,-0.0692402587304552
2024-01-31,0.04113043423422248
2024-03-20,-0.0573359197164643
2024-05-01,0.011436048182849719
2024-06-12,-0.05871182016915777
2024-07-31,-0.15376504214101228
2024-09-18,0.2007104649139682
2024-11-07,0.07422942170121241
2024-12-18,0.027180531842214285
2025-01-29,-0.05081916925498454
2025-03-19,-0.2053955465808811
2025-05-07,-0.13539941060611999
2025-06-18,-0.06531878471089173
2025-07-30,-0.05873701455963639
2025-09-17,-0.14283539649970162
2025-10-29,-0.05386382818612665
2025-12-10,-0.16675342665792342
