bank,date_dt,mean_stance,disagreement,disagreement_pred,bnd_uncertainty,sign_conflict_rate,n_turns,is_test,model_choice_spread
BoE,2015-01-01,0.126984126984127,0.15045569308919168,0.08232904319251276,0.5839823418428569,0.0,21,0,0.0526448379421492
BoE,2015-02-01,0.06,0.11734084106327693,0.08123156091874016,0.5015783401801772,0.0,25,0,0.050332229568471665
BoE,2015-05-01,0.06944444444444443,0.16542448234213666,0.08449246038280084,0.5420600625782153,0.08333333333333333,24,0,0.0856168611523469
BoE,2015-08-01,0.32608695652173914,0.1544154354492095,0.06402253519170341,0.6022823215262659,0.0,23,0,0.09640677315688456
BoE,2016-01-01,-0.18253968253968256,0.184587146103047,0.09456223083683976,0.6231066836032202,0.0,21,0,0.07487286612743337
BoE,2016-02-01,0.08333333333333334,0.10802895489843614,0.09834824767705537,0.4814672611608768,0.05,20,0,0.037267799624996496
BoE,2016-05-01,-0.023809523809523808,0.07568754807337746,0.08658564655893954,0.5061300228724027,0.0,21,0,0.0455917670360161
BoE,2016-08-01,-0.3819444444444444,0.24549548019873468,0.09437865121403265,0.6263642769678649,0.041666666666666664,24,0,0.10869774890623976
BoE,2017-01-01,0.23684210526315788,0.15439584350431174,0.0687160831823504,0.6065654422102437,0.05263157894736842,19,0,0.06622661785325219
BoE,2017-02-01,-0.03333333333333333,0.08302373283332867,0.07700001718792022,0.5735990030815717,0.0,15,0,0.06382847385042255
BoE,2017-05-01,0.04166666666666667,0.11673972510204282,0.08360442840967992,0.5737847724366202,0.0,20,1,0.05335936864527375
BoE,2018-01-01,0.007936507936507934,0.07568754807337746,0.07336527812385521,0.44226991347290073,0.0,21,0,0.05081844632883213
BoE,2018-02-01,0.23148148148148145,0.13571161342122576,0.08235326073655304,0.5345431179667122,0.0,18,0,0.06740842490074556
BoE,2018-05-01,0.1388888888888889,0.17119774890623982,0.07127580704925085,0.5043416127101261,0.0,24,0,0.03928371006591931
BoE,2018-08-01,0.22916666666666666,0.13497309717956407,0.09002203985981393,0.6623472444156497,0.0,16,0,0.09991315673568166
BoE,2019-01-01,-0.057692307692307696,0.14149526996468667,0.08319888901478076,0.44181162985965733,0.0,26,1,0.061818274108929205
BoE,2019-02-01,-0.10317460317460317,0.08873285624999167,0.0963101671663195,0.5170979520720542,0.0,21,1,0.04273940323122622
BoE,2019-05-01,0.22463768115942032,0.03669923987134768,0.06665117274360058,0.5091365297719835,0.0,23,1,0.029877576997229423
BoE,2019-08-01,-0.018518518518518517,0.06759780629394231,0.08488347621869147,0.4042182285367403,0.0,18,0,0.026189140043946204
BoE,2020-01-01,-0.11458333333333334,0.08579237476562282,0.09221419680184686,0.47876701817981865,0.0,16,0,0.05609546674098442
BoE,2020-03-01,-0.3222222222222222,0.177304636991535,0.07547656571338883,0.47680527128770506,0.0,30,0,0.13286956381223775
BoE,2020-05-01,-0.11805555555555557,0.10258818774128715,0.0747680691013297,0.45854057290979516,0.0,24,0,0.0655137578615042
BoE,2020-08-01,-0.15789473684210525,0.07443229275647868,0.08481672123445758,0.43625128873756863,0.0,19,0,0.06077371254627639
BoE,2021-01-01,-0.09420289855072463,0.12754439246008362,0.0934198710232342,0.44575948850479685,0.0,23,0,0.046399450995890205
BoE,2021-02-01,-0.01515151515151515,0.03387981784090591,0.08770020908733092,0.5222511108524727,0.0,11,0,0.03387981784090591
BoE,2021-05-01,-0.020833333333333332,0.04658474953124562,0.09046070856470906,0.3931721201205321,0.0,24,0,0.020833333333333336
BoE,2021-08-01,0.02564102564102564,0.0935969625608432,0.09687651489629918,0.568530208140156,0.0,13,1,0.057335076346148456
BoE,2022-01-01,0.06666666666666667,0.06125067151909094,0.06727497737668163,0.3857407222216873,0.04,25,1,0.03771236166328254
BoE,2022-02-01,0.2583333333333333,0.12310582528954457,0.06079031356183048,0.4658917088307158,0.1,20,0,0.06718548123582124
BoE,2022-05-01,0.025641025641025644,0.13965284906400216,0.053132872369180524,0.6084016181476961,0.0,13,0,0.1057206570671195
BoE,2022-08-01,0.11403508771929824,0.15439584350431174,0.07778374802512275,0.4797132167956134,0.0,19,0,0.09324689309416358
BoE,2023-01-01,0.35294117647058826,0.10266799955881942,0.0823125989094427,0.5359905876441966,0.0,17,0,0.08318903308077029
BoE,2023-02-01,0.10526315789473684,0.16279575586341735,0.10215408406436341,0.4624232738282956,0.10526315789473684,19,0,0.0960916767552923
BoE,2023-05-01,0.058823529411764705,0.06234483924624952,0.06172394262240771,0.5832023595012474,0.058823529411764705,17,0,0.048029210642807414
BoE,2023-08-01,0.07843137254901962,0.17662772404519445,0.08485365389883345,0.6312192616647243,0.058823529411764705,17,0,0.08768894029410941
BoE,2024-01-01,-0.1474358974358974,0.09469678868426505,0.08543003334385821,0.3589848046994819,0.038461538461538464,26,0,0.041045668188672106
BoE,2024-02-01,-1.460819769243627e-18,0.16333621787109398,0.07334190462343347,0.6650143262415851,0.05263157894736842,19,0,0.042973504259354
BoE,2024-05-01,-0.06249999999999999,0.1520950641613702,0.05635167012238846,0.5512741411625929,0.0625,16,0,0.05103103630798288
BoE,2024-08-01,0.043478260869565216,0.138766880449406,0.07175292139599608,0.5155297135687268,0.08695652173913043,23,0,0.043478260869565216
BoE,2025-01-01,-0.025,0.07947192547704633,0.09317661980555794,0.4849008783668333,0.0,20,0,0.04787135538781691
BoE,2025-02-01,-0.12,0.0,0.09223443977933746,0.38380306907473427,0.0,25,0,0.0
BoE,2025-05-01,-0.06349206349206349,0.03549314249999667,0.08977811688854913,0.3431537583476749,0.0,21,0,0.022447834323382456
BoE,2025-08-01,-0.08333333333333333,0.11449127946288658,0.07354365211486626,0.44954578892306984,0.0,18,0,0.06211299937499414
BoE,2026-02-01,-0.08333333333333334,0.08708049924483738,0.07215979606174192,0.49245756109326627,0.05,20,0,0.07993052538854532
ECB,2015-01-22,-0.20588235294117646,0.10961117536763675,0.04256321439606658,0.4729353220168507,0.058823529411764705,17,0,0.029411764705882346
ECB,2015-03-05,-0.303030303030303,0.23280391184835986,0.09321787441488313,0.5485800737800282,0.0,11,0,0.12494259471568668
ECB,2015-04-15,-0.04444444444444444,0.07914561806241845,0.05373767908040206,0.6180408629650493,0.06666666666666667,15,0,0.07370277311900889
ECB,2015-06-03,-0.03787878787878788,0.05081972676135886,0.09864436158037275,0.4641165314661459,0.0,22,0,0.0407967030843523
ECB,2015-07-16,-0.08888888888888889,0.09938079899999067,0.055760703993004306,0.4533428471820971,0.0,15,0,0.0628539361054709
ECB,2015-09-03,-0.20588235294117646,0.13207976426470175,0.06850699015757285,0.5388650766221723,0.0,17,0,0.081437488852138
ECB,2015-10-22,-0.2549019607843137,0.1581273549459996,0.04271318730226963,0.4572305130363359,0.0,17,0,0.08084520834544434
ECB,2015-12-03,-0.23809523809523808,0.12194490620628373,0.06216576223504589,0.5323395726573639,0.0,21,0,0.0549857399228215
ECB,2016-01-21,-0.27777777777777773,0.29765784912147525,0.09530538022984979,0.4942944316628481,0.13333333333333333,15,0,0.11811273125260723
ECB,2016-03-10,-0.3333333333333333,0.18887367331107083,0.08314513698788946,0.6216010495568189,0.0625,16,0,0.09991315673568166
ECB,2016-04-21,-0.23076923076923078,0.1661207349902327,0.05675426361994393,0.5547255627569302,0.0,13,0,0.1175019408963036
ECB,2016-06-02,-0.17777777777777776,0.1392959006360618,0.10488710885012956,0.5733981349369778,0.0,15,0,0.04969039949999533
ECB,2016-07-21,-0.0784313725490196,0.0715741478406448,0.06910516505891005,0.3824841458286587,0.0,17,0,0.0438444701470547
ECB,2016-09-08,-0.28205128205128205,0.18570873556716114,0.07843349323191097,0.5396247217760402,0.0,13,0,0.15169435341281068
ECB,2016-10-20,-0.1794871794871795,0.12985884877553794,0.07825823288420748,0.5120576474242147,0.0,13,0,0.057335076346148456
ECB,2016-12-08,-0.2619047619047619,0.06870519245628873,0.05788535055797588,0.525862873335817,0.0,21,0,0.05323971374999499
ECB,2017-01-19,-0.11904761904761904,0.197021148529578,0.08136383712164207,0.64089222108528,0.0,14,1,0.06734350297014738
ECB,2017-03-09,-0.08333333333333333,0.21372125363758676,0.06366581113602124,0.4444974469263022,0.2,10,0,0.08975274678557507
ECB,2017-04-27,-0.18253968253968256,0.18731052507532966,0.09059988934451903,0.45054725441322446,0.0,21,0,0.08436623660900515
ECB,2017-06-08,-0.16666666666666666,0.2157937233879935,0.04785530864296277,0.5495298098699979,0.125,16,0,0.10622957319984969
ECB,2017-07-20,-0.20833333333333334,0.14306337610758013,0.08785969478618412,0.5257006486630288,0.0,12,0,0.11536977587386216
ECB,2017-09-07,-0.13492063492063494,0.15612443270088655,0.09042759347176269,0.5154252456083812,0.047619047619047616,21,1,0.07487286612743337
ECB,2017-10-26,-0.10869565217391304,0.12116919820100261,0.07210884505115117,0.4628548355920352,0.0,23,0,0.06988152725357213
ECB,2017-12-14,0.022222222222222216,0.28841974611870136,0.061065004473563875,0.6043774292210041,0.2,15,1,0.1872477727372524
ECB,2018-01-25,-0.09649122807017543,0.10074808223016289,0.08283489296461059,0.4873887499883402,0.0,19,1,0.03616759320717246
ECB,2018-03-08,-0.031249999999999997,0.10378619362304517,0.08995538189624203,0.5810967338936358,0.0625,16,0,0.047735163489123336
ECB,2018-04-26,-0.23809523809523808,0.12058321672014238,0.06012055338669139,0.5052875526263342,0.0,14,0,0.0789672569132238
ECB,2018-06-14,0.01282051282051282,0.10119131060246371,0.07983397796571325,0.6107289869966872,0.0,13,0,0.028667538173074228
ECB,2018-07-26,-0.07575757575757575,0.07673477427645424,0.0644934667653439,0.4376953208545833,0.0,11,0,0.03387981784090591
