Observation_Month,Initial_Value,Initial_Release_Date,Current_Value,Latest_Revision_Date
2024-01-01,4.2,2024-05-15,4.2,2024-05-15
2024-02-01,4.3,2024-05-15,4.3,2024-05-15
2024-03-01,4.4,2024-06-17,4.4,2024-06-17
2024-04-01,4.4,2024-08-15,4.4,2024-08-15
2024-05-01,4.2,2024-08-15,4.2,2024-08-15
2024-06-01,4.1,2024-09-16,4.2,2025-01-15
2024-07-01,4.0,2024-11-15,4.1,2025-01-15
2024-08-01,4.3,2024-11-15,4.3,2024-11-15
2024-09-01,4.3,2025-01-15,4.3,2025-01-15
2024-10-01,4.4,2025-02-17,4.4,2025-02-17
2024-11-01,4.4,2025-03-17,4.4,2025-03-17
2024-12-01,4.4,2025-04-15,4.4,2025-04-15
2025-01-01,4.4,2025-05-15,4.4,2025-05-15
2025-02-01,4.5,2025-05-15,4.5,2025-05-15
2025-03-01,4.6,2025-06-16,4.6,2025-06-16
2025-04-01,4.7,2025-08-15,4.7,2025-08-15
2025-05-01,4.7,2025-08-15,4.7,2025-08-15
2025-06-01,4.7,2025-10-15,4.7,2025-10-15
2025-07-01,4.8,2025-10-15,4.8,2025-10-15
2025-08-01,5.0,2025-11-17,5.0,2025-11-17
2025-09-01,5.1,2026-01-15,5.1,2026-01-15
2025-10-01,5.1,2026-02-16,5.1,2026-02-16
2025-11-01,5.2,2026-03-16,5.2,2026-03-16
