,date,unemployment,inflation,rate_change,vix,bond_yields,governor
0,2015-02-12,2.6412075850407715,-0.6265624007579742,-0.2391490699283273,-0.05192082013805685,-0.323252126585325,Carney
1,2015-05-13,1.9369518141070163,-0.6817524232226799,-0.2391490699283273,-0.7114391730768893,-0.12258642856341767,Carney
2,2015-08-06,2.113015756840454,-0.6265115799455798,-0.2391490699283273,-0.9986487096674088,-0.15354388857791637,Carney
3,2015-11-05,1.5848239286401387,-0.6265115799455798,-0.2391490699283273,-0.36040502449887213,-0.15493836875874964,Carney
4,2016-02-04,1.2326960431732612,-0.5991341093850662,-0.2391490699283273,0.945866921295056,-0.4859182396795255,Carney
5,2016-05-12,1.0566321004398231,-0.6212466817608645,-0.2391490699283273,-0.5348584364116371,-0.46263042065961,Carney
6,2016-08-04,0.8805681577063853,-0.5738625980984393,-0.9565962797133092,-0.9241870681330682,-1.0165876724956253,Carney
7,2016-11-03,0.8805681577063853,-0.5148957384296418,-0.2391490699283273,0.45016434204553546,-0.570563186656105,Carney
8,2017-02-02,0.7045042149729457,-0.42118055074173155,-0.2391490699283273,-1.1475721956282934,-0.6235534335277689,Carney
9,2017-05-11,0.17631238677263023,-0.35063091506656313,-0.2391490699283273,-1.487968908875061,-0.7548437425532212,Carney
10,2017-08-03,0.3523763295060682,-0.3032468314041364,-0.2391490699283273,-1.4730766211466335,-0.7502419579564713,Carney
11,2017-11-02,-0.3518794414276853,-0.16214756005379952,0.4782981398566547,-1.4900964365197515,-0.6067499473487281,Carney
12,2018-02-08,-0.3518794414276853,-0.10332512696207524,-0.2391490699283273,2.239374107005247,-0.4160547826197789,Carney
13,2018-05-10,-0.5279433841611249,-0.056229503990381166,-0.2391490699283273,-0.8050481576290389,-0.48703382382419214,Carney
14,2018-08-02,-0.5279433841611249,-0.04252159375255423,0.4782981398566547,-0.8624901866824648,-0.5585009330918971,Carney
15,2018-11-01,-0.7040073268945628,-1.2045974006271818,-0.2391490699283273,0.8565127891400846,-0.45593691579161033,Carney
16,2019-02-07,-0.5279433841611249,-1.1624782151494688,-0.2391490699283273,-0.3880622752032398,-0.6701290715676,Carney
17,2019-05-02,-1.0561352123614403,-1.1730080115188979,-0.2391490699283273,-0.5114560381044473,-0.7461282414230133,Carney
18,2019-08-01,-1.2321991550948783,-1.057180251455188,-0.2391490699283273,-0.23062867866359288,-0.9550213725118366,Carney
19,2019-11-07,-1.0561352123614403,-1.0150610659774764,-0.2391490699283273,-0.9752465142524224,-1.0006208744250844,Carney
20,2020-01-30,-1.2321991550948783,-0.9940014732386199,-0.2391490699283273,-0.1731870553945737,-1.0295563381773747,Carney
21,2020-11-05,-0.8800712696280015,-0.962412084130336,-2.1045118153692806,2.630830266371369,-1.2665482449099885,Bailey
22,2021-02-04,0.8805681577063853,-0.930822695022052,-0.2391490699283273,1.2139293177599702,-1.1001867593365797,Bailey
23,2021-05-06,1.0511801853785534,-0.8992333059137664,-0.2391490699283273,0.4139971836546088,-0.9024494696944223,Bailey
24,2021-08-05,0.5802052845268988,-0.7307565640029174,-0.2391490699283273,0.16295460256281263,-1.084986925365497,Bailey
25,2021-11-04,0.30389364913282707,-0.6149288039392089,-0.2391490699283273,-0.4476316290091526,-0.8790222026564235,Bailey
26,2022-02-03,-0.3601445079265893,-0.404332876550647,0.9087664657276439,1.0394761087394087,-0.49574932495440005,Bailey
27,2022-05-05,-0.8800712696280015,-0.2674455237480805,1.1957453496416366,1.7479265830451078,-0.20444241517833056,Bailey
28,2022-08-04,-1.0561352123614403,0.18533572013732746,1.9131925594266184,1.0096915332825538,0.08902593887803037,Bailey
29,2022-11-03,-1.0561352123614403,0.34328266567874893,3.348086978996583,1.8415357704894597,0.8485295693688694,Bailey
30,2023-02-02,-1.2321991550948783,0.7223553349781598,2.6306397692116,0.14168013768472015,0.944888149864448,Bailey
31,2023-05-11,-1.0561352123614403,0.9329512623667219,1.1957453496416366,-0.05617546964303128,1.2285254186459347,Bailey
32,2023-08-03,-1.0561352123614403,1.175136578863568,1.9131925594266184,-0.23701126159766467,1.6243486179754574,Bailey
33,2023-11-02,-0.1758154986942473,1.2067259679718534,-0.2391490699283273,-0.07106775737145872,1.4446698466750911,Bailey
34,2024-02-01,-0.3518794414276853,1.2699047461884214,-0.2391490699283273,-0.6071925503012867,1.2074687679153524,Bailey
35,2024-05-09,-0.8800712696280015,1.2699047461884214,-0.2391490699283273,-0.8944022897840099,1.4103656342265927,Bailey
36,2024-08-01,0.0002484440391922351,1.5542092481629788,-0.9565962797133092,-0.17956923254423876,1.3515882946044706,Bailey
37,2024-11-07,-0.5279433841611249,1.6279178227489772,-0.9565962797133092,-0.1987165755620474,1.5452815917222116,Bailey
38,2025-02-06,-0.1758154986942473,1.7542753791821133,-0.9565962797133092,-0.30509052309013684,1.607963475850667,Bailey
39,2025-05-08,0.0002484440391922351,1.8595733428763943,-0.9565962797133092,1.3500878407449144,1.6735737683588716,Bailey
40,2025-08-07,0.3523763295060682,1.9122223247235348,-0.9565962797133092,-0.09234262803395796,1.6990230316590789,Bailey
41,2025-11-06,0.5284402722395077,1.9122223247235348,-0.2391490699283273,0.17146471314157502,1.6025250031454168,Bailey
