,date,unemployment,inflation,rate_change,vix,bond_yields,governor
0,2015-01-22,2.2935934676217196,-1.1926142889419202,-0.13442666468584336,0.09668870419704717,-0.34080629035213095,Draghi
1,2015-03-05,2.227144958956898,-1.025977596956038,-0.13442666468584336,-0.560442604442816,-0.4819448497363434,Draghi
2,2015-04-15,2.1606964502920754,-0.9855436937535815,-0.13442666468584336,-0.6400947938466182,-0.5732512469819205,Draghi
3,2015-06-03,2.0942479416272537,-0.9573624884912627,-0.13442666468584336,-0.5590202100059982,0.008491931685624487,Draghi
4,2015-07-16,1.8949024156327885,-1.014950168809913,-0.13442666468584336,-0.7026787925966046,-0.06326007348074035,Draghi
5,2015-09-03,1.8284539069679655,-0.995345852105692,-0.13442666468584336,1.126478673875197,-0.1117518131550163,Draghi
6,2015-10-22,1.8284539069679655,-0.984318423959567,-0.13442666468584336,-0.20911904607479864,-0.22963010704713996,Draghi
7,2015-12-03,1.6955568896383222,-1.0247523271620236,-0.6782436263694824,-0.3214857649374112,-0.20593617559118957,Draghi
8,2016-01-21,1.6955568896383222,-1.1632078138855886,-0.13442666468584336,1.3398329561058802,-0.3056793472793456,Draghi
9,2016-03-10,1.5626598723086789,-1.0321039459261068,-0.6782436263694827,0.024148215683335073,-0.5303802692118927,Draghi
10,2016-04-21,1.5626598723086789,-1.0112743594278715,-0.13442666468584336,-0.6955669560595154,-0.562595454974846,Draghi
11,2016-06-02,1.4297628549790342,-0.9549119489032355,-0.13442666468584336,-0.5647096521062698,-0.6936526883789961,Draghi
12,2016-07-21,1.3633143463142126,-1.0014722010757608,-0.13442666468584336,-0.9103434970800165,-0.8128826679078924,Draghi
13,2016-09-08,1.296865837649391,-0.9598130280792899,-0.13442666468584336,-0.886163469889112,-0.7520004723710957,Draghi
14,2016-10-20,1.2304173289845692,-0.9377581717870417,-0.13442666468584336,-0.5348400471680942,-0.6773310783086921,Draghi
15,2016-12-08,1.1639688203197462,-0.9206043946708479,-0.13442666468584336,-0.8463372395402116,-0.4605806993360506,Draghi
16,2017-01-19,1.0975203116549246,-1.0026974708697753,-0.13442666468584336,-0.8093559337119461,-0.46144427658385856,Draghi
17,2017-03-09,0.9646232943252813,-0.8862968404384602,-0.13442666468584336,-0.8975423540896551,-0.37700797043651585,Draghi
18,2017-04-27,0.8981747856604596,-0.8323849695018515,-0.13442666468584336,-1.0412008010332618,-0.4834342069700036,Draghi
19,2017-06-08,0.7652777683308151,-0.8311596997078371,-0.13442666468584336,-1.1066294530098848,-0.4618197454427019,Draghi
20,2017-07-20,0.7652777683308151,-0.8740441424983225,-0.13442666468584336,-1.1919712201609578,-0.2838101919968041,Draghi
21,2017-09-07,0.6323807510011716,-0.8103301132096016,-0.13442666468584336,-0.9302566122544668,-0.3779776588070253,Draghi
22,2017-10-26,0.56593224233635,-0.8054290340335472,-0.13442666468584336,-0.987151168904182,-0.35598459908728514,Draghi
23,2017-12-14,0.4994837336715271,-0.791951066299395,-0.13442666468584336,-1.1364990579480607,-0.42160510700510667,Draghi
24,2018-01-25,0.4994837336715271,-0.8789452216743768,-0.13442666468584336,-0.953014380655553,-0.2674773178867547,Draghi
25,2018-03-08,0.3665867163418837,-0.7515171630969385,-0.13442666468584336,-0.05834876259410239,-0.21979283526155996,Draghi
26,2018-04-26,0.30013820767706206,-0.7123085296884948,-0.13442666468584336,-0.046969878393559254,-0.26274641685705236,Draghi
27,2018-06-14,0.1672411903474175,-0.638792342047665,-0.13442666468584336,-0.7439272817353234,-0.3953242973614872,Draghi
28,2018-07-26,0.10079268168259581,-0.6608471983399132,-0.13442666468584336,-0.8363807497764862,-0.4409437034313739,Draghi
29,2018-09-13,0.03434417301777413,-0.6069353274033046,-0.13442666468584336,-0.715479935586966,-0.3577192629427313,Draghi
30,2018-10-25,0.03434417301777413,-0.583655201317042,-0.13442666468584336,1.0041554652488591,-0.3329214547244057,Draghi
31,2018-12-13,-0.09855284431186984,-0.6424681514297067,-0.13442666468584336,0.46792497079851625,-0.516823651746603,Draghi
32,2019-01-24,-0.09855284431186984,-0.7441655443328552,-0.13442666468584336,0.19198696111184552,-0.5639471406116187,Draghi
33,2019-03-07,-0.16500135297669152,-0.6142869461673879,-0.13442666468584336,-0.34566592777531524,-0.6695663924382504,Draghi
34,2019-04-10,-0.16500135297669152,-0.5432212981145854,-0.13442666468584336,-0.5533307679057267,-0.7133253533092005,Draghi
35,2019-06-06,-0.2978983703063355,-0.5138148230582521,-0.13442666468584336,-0.2958832076626894,-0.9525035447323492,Draghi
36,2019-07-25,-0.2978983703063355,-0.5591498054367647,-0.13442666468584336,-0.8676727491514793,-1.0158167910006846,Draghi
37,2019-09-12,-0.3643468789711572,-0.5248422512043771,-0.6782436263694824,-0.5063928366667364,-1.194921731764049,Draghi
38,2019-10-24,-0.3643468789711572,-0.5101390136762122,-0.13442666468584336,-0.5917344681708099,-1.0863175068029063,Draghi
39,2019-12-12,-0.3643468789711572,-0.5101390136762122,-0.13442666468584336,-0.45234306889065673,-0.9387834690246287,Lagarde
40,2020-01-23,-0.3643468789711572,-0.6093858669913318,-0.13442666468584336,-0.7481943293987772,-0.9510925743563207,Lagarde
41,2020-03-12,-0.5636924049656235,-0.5395454887325437,-0.13442666468584336,5.082067261763739,-1.1486077081752026,Lagarde
42,2020-04-30,-0.3643468789711572,-0.5113642834702249,-0.13442666468584336,1.857572594171591,-1.0689314436756698,Lagarde
43,2020-06-04,0.10079268168259581,-0.4868588875899478,-0.13442666468584336,1.0653170695620282,-1.0557356076703592,Lagarde
