Observation_Month,Initial_Value,Initial_Release_Date,Current_Value,Latest_Revision_Date
2024-01-01,3.7,2024-02-02,3.7,2024-02-02
2024-02-01,3.9,2024-03-08,3.9,2024-03-08
2024-03-01,3.8,2024-04-05,3.9,2025-01-10
2024-04-01,3.9,2024-05-03,3.9,2024-05-03
2024-05-01,4.0,2024-06-07,3.9,2026-01-09
2024-06-01,4.1,2024-07-05,4.1,2024-07-05
2024-07-01,4.3,2024-08-02,4.2,2025-01-10
2024-08-01,4.2,2024-09-06,4.2,2024-09-06
2024-09-01,4.1,2024-10-04,4.1,2024-10-04
2024-10-01,4.1,2024-11-01,4.1,2024-11-01
2024-11-01,4.2,2024-12-06,4.2,2024-12-06
2024-12-01,4.1,2025-01-10,4.1,2025-01-10
2025-01-01,4.0,2025-02-07,4.0,2025-02-07
2025-02-01,4.1,2025-03-07,4.2,2026-01-09
2025-03-01,4.2,2025-04-04,4.2,2025-04-04
2025-04-01,4.2,2025-05-02,4.2,2025-05-02
2025-05-01,4.2,2025-06-06,4.3,2026-01-09
2025-06-01,4.1,2025-07-03,4.1,2025-07-03
2025-07-01,4.2,2025-08-01,4.3,2026-01-09
2025-08-01,4.3,2025-09-05,4.3,2025-09-05
2025-09-01,4.4,2025-11-20,4.4,2025-11-20
2025-10-01,,2025-12-16,,2025-12-16
2025-11-01,4.6,2025-12-16,4.5,2026-01-09
2025-12-01,4.4,2026-01-09,4.4,2026-01-09
2026-01-01,4.3,2026-02-11,4.3,2026-02-11
2026-02-01,4.4,2026-03-06,4.4,2026-03-06
2026-03-01,4.3,2026-04-03,4.3,2026-04-03
2026-04-01,4.3,2026-05-08,4.3,2026-05-08
