STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop18,Classification of individual consumption by purpose (COICOP) - 2018,release,Release,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2015-11,,77.61,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2015-12,,77.62,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-01,,76.49,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-02,,76.61,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-03,,77.56,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-04,,77.73,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-05,,78.05,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-06,,78.19,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-07,,77.81,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-08,,77.86,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-09,,78.15,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-10,,78.33,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-11,,78.06,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2016-12,,78.47,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-01,,77.80,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-02,,78.11,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-03,,78.75,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-04,,79.19,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-05,,79.13,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-06,,79.20,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-07,,78.85,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-08,,79.06,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-09,,79.37,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-10,,79.41,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-11,,79.25,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2017-12,,79.52,,,,,
dataflow,ESTAT:PRC_HICP_FPD(1.0),Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - first released data,M,Monthly,I25,"Index, 2025=100",TOTAL,Total,FIN,Final,EA21,Euro area – 21 countries (from 2026),2018-01,,78.81,,,,,
