Observation_Month,Value
2015-01-01,1.8815000000000002
2015-02-01,1.9752631578947368
2015-03-01,2.0427272727272725
2015-04-01,1.935
2015-05-01,2.1975000000000002
2015-06-01,2.3636363636363638
2015-07-01,2.3245454545454547
2015-08-01,2.1671428571428573
2015-09-01,2.172857142857143
2015-10-01,2.07
2015-11-01,2.263157894736842
2015-12-01,2.2427272727272727
2016-01-01,2.0852631578947367
2016-02-01,1.7795
2016-03-01,1.8890909090909092
2016-04-01,1.805238095238095
2016-05-01,1.8061904761904761
2016-06-01,1.6440909090909093
2016-07-01,1.504
2016-08-01,1.556521739130435
2016-09-01,1.6304761904761906
2016-10-01,1.7645
2016-11-01,2.1420000000000003
2016-12-01,2.491904761904762
2017-01-01,2.4325
2017-02-01,2.4189473684210525
2017-03-01,2.4817391304347827
2017-04-01,2.2973684210526315
2017-05-01,2.3036363636363637
2017-06-01,2.186818181818182
2017-07-01,2.318
2017-08-01,2.2091304347826086
2017-09-01,2.202
2017-10-01,2.3600000000000003
2017-11-01,2.3533333333333335
2017-12-01,2.4025
2018-01-01,2.583809523809524
2018-02-01,2.8589473684210525
2018-03-01,2.8423809523809522
2018-04-01,2.869047619047619
2018-05-01,2.977727272727273
2018-06-01,2.9123809523809525
2018-07-01,2.889047619047619
2018-08-01,2.889130434782609
2018-09-01,3.004210526315789
2018-10-01,3.152272727272727
2018-11-01,3.117
2018-12-01,2.8326315789473684
2019-01-01,2.713809523809524
2019-02-01,2.6763157894736844
2019-03-01,2.570952380952381
2019-04-01,2.532380952380952
2019-05-01,2.395
2019-06-01,2.074
2019-07-01,2.059090909090909
2019-08-01,1.6263636363636365
2019-09-01,1.6995
2019-10-01,1.7068181818181818
2019-11-01,1.8121052631578947
2019-12-01,1.8628571428571428
2020-01-01,1.7576190476190479
2020-02-01,1.5042105263157897
2020-03-01,0.87
2020-04-01,0.6576190476190477
2020-05-01,0.674
2020-06-01,0.7286363636363636
2020-07-01,0.6236363636363637
2020-08-01,0.65
2020-09-01,0.6795238095238095
2020-10-01,0.7871428571428571
2020-11-01,0.8700000000000001
2020-12-01,0.9336363636363636
2021-01-01,1.0810526315789473
2021-02-01,1.2578947368421052
2021-03-01,1.6108695652173912
2021-04-01,1.635
2021-05-01,1.621
2021-06-01,1.5190909090909093
2021-07-01,1.3185714285714287
2021-08-01,1.2831818181818182
2021-09-01,1.3747619047619049
2021-10-01,1.5825
2021-11-01,1.5595
2021-12-01,1.4649999999999999
2022-01-01,1.764
2022-02-01,1.9342105263157894
2022-03-01,2.1278260869565218
2022-04-01,2.7475
2022-05-01,2.8980952380952383
2022-06-01,3.1433333333333335
2022-07-01,2.896
2022-08-01,2.8978260869565218
2022-09-01,3.5190476190476194
2022-10-01,3.9835000000000003
2022-11-01,3.8909999999999996
2022-12-01,3.616190476190476
2023-01-01,3.5315
2023-02-01,3.7468421052631578
2023-03-01,3.6630434782608696
2023-04-01,3.46
2023-05-01,3.5736363636363637
2023-06-01,3.7480952380952384
2023-07-01,3.8994999999999997
2023-08-01,4.167826086956522
2023-09-01,4.379
2023-10-01,4.798095238095239
2023-11-01,4.502857142857143
2023-12-01,4.0200000000000005
2024-01-01,4.058095238095238
2024-02-01,4.2075000000000005
2024-03-01,4.2085
2024-04-01,4.539090909090909
2024-05-01,4.482272727272727
2024-06-01,4.3052631578947365
2024-07-01,4.248636363636364
2024-08-01,3.8709090909090906
2024-09-01,3.7235
2024-10-01,4.095454545454545
2024-11-01,4.35578947368421
2024-12-01,4.3914285714285715
2025-01-01,4.629047619047618
2025-02-01,4.451052631578947
2025-03-01,4.2804761904761905
2025-04-01,4.279047619047619
2025-05-01,4.423809523809524
2025-06-01,4.3835
2025-07-01,4.391818181818182
2025-08-01,4.2647619047619045
2025-09-01,4.12047619047619
2025-10-01,4.0618181818181816
2025-11-01,4.0938888888888885
2025-12-01,4.1431818181818185
